phase	addr	type	field1	field2	field3
on	0x0004588c	extern_call	wlc_phy_radio2069_pwron_seq		
on	0x000458dc	radio_maskset	0x08f2	0x0040	0x0040
on	0x00045908	radio_maskset	0x08f2	0x0080	0x0080
on	0x00045934	radio_maskset	0x08f5	0x0600	0x0000
on	0x00045960	radio_maskset	0x08f5	0x1800	0x0000
on	0x0004598c	radio_maskset	0x095b	0x0001	0x0001
on	0x000459bc	radio_write	0x095c	0x0000	
on	0x000459e4	radio_write	0x095d	0x0000	
on	0x00045a0c	radio_write	0x095e	0x0000	
on	0x00045a34	radio_write	0x095f	0x0000	
on	0x00045a64	radio_maskset	0x0810	0x0001	0x0000
on	0x00045a70	udelay	0x0001		
on	0x00045aa0	radio_maskset	0x0810	0x0001	0x0001
on	0x00045af0	udelay	0x000a		
on	0x00045b6c	radio_maskset	0x095b	0x0001	0x0000
on	0x00045b98	radio_maskset	0x08f2	0x0040	0x0000
on	0x00045bc4	radio_maskset	0x08f2	0x0080	0x0000
on	0x00045bf0	radio_maskset	0x0810	0x0001	0x0000
on	0x00045c00	extern_call	wlc_phy_radio2069_rccal		
off	0x00045c6c	phy_write	0x073e	0x0000	
off	0x00045c94	phy_write	0x0739	0x0000	
off	0x00045cbc	phy_write	0x073a	0x0000	
off	0x00045ce4	phy_write	0x0725	0x1fff	
off	0x00045d0c	phy_write	0x0729	0x0000	
off	0x00045d34	phy_write	0x0721	0xffff	
off	0x00045d5c	phy_write	0x0728	0x0000	
off	0x00045d88	phy_write	0x0720	0x03ff	
off	0x00045d98	phy_write	0x0408	0x0000	
off	0x00045da8	phy_write	0x0417	0x0000	
off	0x00045de8	phy_write	0x0416	0x0001	
